team_id,team,salary
1,Miami,153171497
2,Golden State,146291276
3,Oklahoma City,144916427
4,Toronto,137793831
5,Milwaukee,130988604
6,Portland,130256600
7,Detroit,126557932
8,Houston,126474100
9,Memphis,126107461
10,Boston,125334993
11,Washington,123747588
12,New York,123387454
13,Cleveland,123255073
14,Minnesota,121962221
15,San Antonio,121588790
16,Charlotte,121427859
17,Brooklyn,118850600
18,Denver,118327016
19,LA Clippers,118026816
20,New Orleans,116052756
21,Philadelphia,115127167
22,Orlando,114394213
23,Utah,113826156
24,Chicago,112598201
25,Indiana,110724804
26,Phoenix,108692835
27,LA Lakers,107225482
28,Sacramento,101466920
29,Dallas,86958881
30,Atlanta,79180081
